StoreName,Locationnumber,State,BUCode,last_30d_recharge,active_days_30d,prev_30d_recharge,last_7d_recharge,days_since_last_recharge,churn_30d
NGS Township Mathura,22818,UP,11109,-423.8,1,0.0,-423.8,0,0
NGS Vapi OR,20683,Gujrat,171,-127.14000000000001,1,0.0,-127.14000000000001,0,0
NGS Vighan nagar OR,20995,Rajasthan,176,-127.14000000000001,1,0.0,-127.14000000000001,0,0
NGS yamunavihar Bulandshahr,22804,UP,11109,-42.38,1,0.0,-42.38,0,0
NGS_HAZARIBAGH,22831,Jharkhand,13220,-211.9,1,0.0,-211.9,0,0
NGS_Store_Chhapra,22866,Bihar,132,-84.76,1,0.0,-84.76,0,0
NGS_Store_Purnia,22868,Bihar,132,-169.52,1,0.0,-169.52,0,0
NGS_Store_Siwan,22867,Bihar,132,-211.9,1,0.0,-211.9,0,0
NIT Faridabad,275,Haryana,11106,-1440.92,1,0.0,-1440.92,0,0
NR Colony OR,20563,Karnataka,153,-211.9,1,0.0,-211.9,0,0
Nagercoil NGS,20912,Tamil Nadu,155,-508.56000000000006,1,0.0,-508.56000000000006,0,0
Nahur MUM,20672,Maharashtra,17327,-127.14000000000001,1,0.0,-127.14000000000001,0,0
Naihati Mini,21279,West Bengal,135,-127.14000000000001,1,0.0,-127.14000000000001,0,0
Najafgarh Delhi,592,Delhi,111,-3686.6800000000003,1,0.0,-3686.6800000000003,0,0
Najar Telecommunication JK,21515,JK,114,-42.38,1,0.0,-42.38,0,0
Nalasopara  Mumbai,553,Maharashtra,17327,-550.94,1,0.0,-550.94,0,0
Nalasopara West OR,20674,Maharashtra,17327,-635.7,1,0.0,-635.7,0,0
Nalgonda AOR,20974,Telangana,15136,-635.7,1,0.0,-635.7,0,0
Nalstop OR,20886,Maharashtra,17327,-84.76,1,0.0,-84.76,0,0
Namakkal NGS,21002,Tamil Nadu,155,-254.28000000000003,1,0.0,-254.28000000000003,0,0
Nanded OR,20887,Maharashtra,17327,-678.08,1,0.0,-678.08,0,0
Nandi Durga  Bangalore,31,Karnataka,153,-720.46,1,0.0,-720.46,0,0
Nanganallur NGS,20756,Tamil Nadu,155,-508.56000000000006,1,0.0,-508.56000000000006,0,0
Narayana  Delhi,133,Delhi,111,-805.22,1,0.0,-805.22,0,0
Narayanguda AOR,20751,Telangana,15136,-423.8,1,0.0,-423.8,0,0
Natucircle Nextgen Store Baroda,919,Gujrat,171,-42.38,1,0.0,-42.38,0,0
Navalur NGS,22811,Tamil Nadu,155,-339.04,1,0.0,-339.04,0,0
Naveen Market  Kanpur,115,UP,11109,-254.28000000000003,1,0.0,-254.28000000000003,0,0
Navyug Market  Ghaziabad,244,UP,11109,-593.32,1,0.0,-593.32,0,0
Nehru Nagar  Belgaum  Karnataka,60,Karnataka,153,-423.8,1,0.0,-423.8,0,0
Nelamangala OR,20584,Karnataka,153,-1101.88,1,0.0,-1101.88,0,0
Nerul NGS,20988,Maharashtra,17327,-84.76,1,0.0,-84.76,0,0
